2026-04-11 11:59:15.950 | INFO     | embedder:__init__:43 | Loaded embedding model: sentence-transformers/all-MiniLM-L6-v2 (dim=384)
2026-04-11 11:59:15.951 | INFO     | embedder:embed_and_cache:121 | Loaded cached embeddings from C:\Users\ABHINAV TEJA\Downloads\NLP\iqas\models\embeddings_cache\embeddings.npy
2026-04-11 11:59:15.952 | INFO     | pipeline:ingest_documents:212 | Computed embeddings: shape (3, 384)
2026-04-11 11:59:15.952 | INFO     | indexer:build:81 | Built FAISS FlatIP index: 3 vectors, dim=384
2026-04-11 11:59:15.954 | INFO     | indexer:save:188 | Saved FAISS index (3 vectors) to C:\Users\ABHINAV TEJA\Downloads\NLP\iqas\models\faiss_index\index.faiss
2026-04-11 11:59:15.955 | INFO     | retriever:__init__:90 | Initialized HybridRetriever with 3 chunks
2026-04-11 11:59:15.955 | INFO     | pipeline:ingest_documents:240 | Ingestion complete: 1 docs, 3 chunks in 5.81s
2026-04-11 11:59:15.956 | INFO     | retriever:retrieve:283 | Retrieving for query: 'What is NLP?...'
2026-04-11 11:59:16.568 | DEBUG    | retriever:retrieve:289 | Dense: 3 results, BM25: 2 results
2026-04-11 11:59:16.568 | DEBUG    | retriever:retrieve:295 | Fused: 3 candidates for re-ranking
2026-04-11 11:59:24.832 | INFO     | retriever:_get_reranker:102 | Loaded cross-encoder: cross-encoder/ms-marco-MiniLM-L-6-v2
2026-04-11 11:59:25.089 | INFO     | retriever:retrieve:300 | Retrieved 3 final passages
2026-04-11 11:59:25.089 | INFO     | answer_extractor:extract_answer:106 | Question type: DEFINE
2026-04-11 11:59:25.760 | INFO     | pipeline:ask:278 | Answer: confidence=0.988, source=sample_nlp_notes.txt, type=DEFINE
2026-04-11 11:59:25.763 | INFO     | document_loader:load_txt:120 | Loaded TXT: sample_nlp_notes.txt (6036 chars)
2026-04-11 11:59:25.763 | INFO     | document_loader:batch_load:211 | Batch loaded 1 document sections from 1 files
2026-04-11 11:59:25.763 | INFO     | pipeline:ingest_documents:159 | Loaded 1 document sections
